IDENT; Kiermaszy; Wystaw; Rok
1001; 3; 0; 2020
1001; 3; 0; 2021
1001; 3; 0; 2022
1002; 3; 1; 2020
1002; 4; 2; 2021
1002; 2; 1; 2022
1003; 2; 0; 2021
1003; 3; 1; 2022
1005; 3; 0; 2020
1005; 3; 0; 2021
1005; 3; 0; 2022
1006; 3; 2; 2020
1006; 3; 2; 2021
1006; 4; 2; 2022
1007; 3; 0; 2021
1007; 3; 1; 2022
1008; 2; 0; 2020
1008; 3; 2; 2021
1008; 3; 2; 2022
1009; 2; 0; 2020
1009; 3; 1; 2021
1009; 3; 1; 2022
1010; 2; 0; 2020
1010; 3; 0; 2021
1010; 4; 0; 2022
1011; 3; 1; 2022
1012; 3; 1; 2020
1012; 4; 1; 2021
1012; 4; 1; 2022
1013; 3; 1; 2020
1013; 4; 1; 2021
1013; 4; 2; 2022
1014; 2; 2; 2021
1014; 3; 2; 2022
1015; 0; 6; 2022
1016; 2; 0; 2021
1016; 2; 1; 2022
1017; 1; 1; 2020
1017; 2; 2; 2021
1017; 3; 2; 2022
1018; 1; 1; 2022
1019; 0; 2; 2021
1019; 1; 2; 2022
1020; 0; 2; 2020
1020; 0; 2; 2021
1020; 0; 2; 2022
1021; 0; 3; 2022
1022; 2; 0; 2021
1022; 3; 1; 2022
1023; 3; 1; 2022
1024; 2; 0; 2022
1025; 0; 2; 2020
1025; 1; 2; 2021
1025; 3; 2; 2022
1027; 0; 2; 2021
1027; 0; 3; 2022
1028; 5; 0; 2021
1028; 5; 0; 2022
1029; 2; 3; 2022
1030; 3; 0; 2020
1030; 4; 2; 2021
1030; 4; 2; 2022
1031; 0; 3; 2022
1032; 1; 1; 2020
1032; 3; 1; 2021
1032; 3; 2; 2022
1033; 2; 0; 2021
1033; 3; 0; 2022
1034; 3; 3; 2022
1035; 2; 3; 2021
1035; 2; 3; 2022
1036; 3; 4; 2022
1037; 2; 4; 2022
1038; 1; 1; 2020
1038; 3; 1; 2021
1038; 3; 2; 2022
1039; 3; 3; 2022
1040; 0; 3; 2021
1040; 1; 3; 2022
1041; 2; 3; 2021
1041; 2; 3; 2022
1042; 0; 2; 2021
1042; 0; 4; 2022
1043; 1; 0; 2022
1044; 3; 1; 2020
1044; 4; 2; 2021
1044; 4; 2; 2022
1045; 2; 3; 2021
1045; 2; 3; 2022
1047; 3; 1; 2020
1047; 3; 2; 2021
1047; 3; 2; 2022
1048; 1; 1; 2022
1049; 0; 3; 2021
1049; 2; 3; 2022
1050; 2; 0; 2021
1050; 4; 1; 2022
1051; 2; 0; 2020
1051; 2; 0; 2021
1051; 4; 2; 2022
1052; 2; 0; 2022
1053; 2; 3; 2021
1053; 3; 3; 2022
1054; 6; 0; 2022
1055; 2; 0; 2020
1055; 2; 3; 2021
1055; 5; 3; 2022
1056; 3; 0; 2021
1056; 3; 2; 2022
1057; 0; 3; 2022
1058; 2; 1; 2020
1058; 3; 1; 2021
1058; 5; 2; 2022
1059; 0; 3; 2021
1059; 1; 3; 2022
1060; 0; 2; 2022
1061; 0; 3; 2021
1061; 0; 3; 2022
1062; 5; 0; 2021
1062; 6; 0; 2022
1063; 2; 1; 2020
1063; 2; 2; 2021
1063; 4; 3; 2022
1064; 3; 0; 2021
1064; 4; 1; 2022
1065; 5; 0; 2021
1065; 6; 0; 2022
1066; 0; 3; 2021
1066; 3; 3; 2022
1067; 3; 2; 2020
1067; 3; 2; 2021
1067; 4; 2; 2022
1068; 0; 5; 2022
1069; 2; 0; 2021
1069; 4; 1; 2022
1070; 2; 2; 2022
1071; 2; 0; 2020
1071; 3; 0; 2021
1071; 4; 2; 2022
1072; 0; 3; 2021
1072; 4; 3; 2022
1073; 3; 3; 2021
1073; 3; 3; 2022
1074; 3; 0; 2021
1074; 6; 3; 2022
1075; 3; 1; 2020
1075; 3; 1; 2021
1075; 5; 2; 2022
1076; 1; 0; 2022
1077; 1; 3; 2022
1078; 2; 1; 2020
1078; 4; 1; 2021
1078; 5; 2; 2022
1079; 0; 3; 2021
1079; 1; 3; 2022
1080; 2; 2; 2020
