numer_startowy;numer_klubu;sezon1;sezon2;sezon3
1;1;430,70;223,51;417,29
2;4;158,54;392,31;379,61
3;3;422,68;363,22;302,21
4;3;438,01;247,45;241,43
5;3;148,80;185,52;287,32
6;3;393,14;340,21;213,22
7;3;262,67;281,29;303,65
8;2;192,00;172,10;183,14
9;2;125,64;319,38;274,98
10;3;297,60;426,23;226,91
11;2;392,71;297,58;311,48
12;2;174,64;120,15;125,27
13;4;437,40;226,72;428,03
14;2;436,45;381,58;329,18
15;4;100,80;280,09;268,15
16;3;157,59;228,32;433,79
17;1;376,05;120,19;340,95
18;3;408,59;383,86;381,59
19;3;374,67;252,80;220,43
20;2;432,59;258,84;182,55
21;4;273,23;441,51;368,83
22;2;157,60;299,70;345,15
23;1;438,04;166,91;291,37
24;2;387,47;126,82;145,05
25;1;205,97;144,24;296,33
26;2;176,33;353,19;323,80
27;3;261,88;349,41;349,39
28;2;241,59;290,62;404,67
29;2;272,85;103,21;293,77
30;2;181,29;188,90;149,33
31;4;377,26;201,70;216,82
32;2;121,22;380,97;404,62
33;4;194,40;314,93;333,13
34;3;246,10;352,77;232,13
35;1;196,32;439,67;224,64
36;1;304,98;260,36;322,99
37;2;212,91;265,23;218,21
38;1;198,67;212,27;412,81
39;2;100,54;197,64;213,99
40;3;213,86;325,59;195,42
41;2;400,12;340,77;110,47
42;3;380,18;298,28;278,03
43;3;357,49;184,93;223,93
44;1;269,18;185,65;315,88
45;4;192,48;219,29;444,82
46;2;447,89;282,10;377,37
47;2;204,08;322,30;165,27
48;2;316,76;184,31;152,22
49;3;439,03;295,35;318,28
50;2;109,52;328,18;135,71
51;2;113,72;111,06;327,98
52;2;418,54;178,84;106,14
53;2;308,21;264,73;205,84
54;3;168,92;150,60;119,63
55;3;146,29;427,55;419,00
56;4;207,44;402,53;378,70
57;3;138,56;278,91;372,85
58;3;288,21;205,93;164,08
59;3;284,08;340,10;401,90
60;3;356,11;349,69;145,23
61;3;316,13;376,30;337,60
62;3;203,84;211,46;290,94
63;3;108,26;445,40;265,53
64;2;247,29;205,02;209,47
65;3;178,56;335,06;297,70
66;3;163,74;103,65;260,33
67;4;441,25;351,31;116,58
68;2;375,36;384,04;230,42
69;2;367,34;194,66;419,91
70;2;332,47;273,23;223,65
71;3;256,78;131,06;198,52
72;2;130,32;218,89;360,89
73;1;314,05;364,36;354,25
